Type,Name,Description,Product,Platform,"Vendor (Browser:Microsoft, Google, Microsoft, Adobe)",Devices,Apps,Scrpt Lngth,Potential End User Impact,Impact Notes,URL,Status,Requires Input,Additional Notes
Script,Restart-WinProcess.ps1,"Stops a named process. If the -Start switch is supplied the process is also restarted after stopping. Process name must be provided as an input.",UEM,Windows,Microsoft,,,Short,1) High,"Stopping the wrong process can crash applications with unsaved data or destabilise the user session. No validation or safelist is applied before stopping.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/ProcessManagement/Restart-WinProcess.ps1,3) Complete - Needs Testing,Yes,Consider adding a safelist of processes that should never be stopped
Script,Restart-WinService.ps1,"Stops and restarts a named Windows service. Service name must be provided as an input.",UEM,Windows,Microsoft,,,Short,2) Medium,"Service restart may briefly interrupt functionality provided by that service.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/ProcessManagement/Restart-WinService.ps1,3) Complete - Needs Testing,Yes,
Script,Restart-WindowsUpdateServices.ps1,"Stops and restarts Windows Update and related services (wuauserv / BITS / cryptsvc / msiserver) to resolve stalled or broken update states. Supports a -ForceRestart switch.",UEM,Windows,Microsoft,,,Short,2) Medium,"Services are temporarily unavailable during restart. No user-visible interruption unless an update was actively installing.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/ProcessManagement/Restart-WindowsUpdateServices.ps1,3) Complete - Needs Testing,No,
Script,Enable-HardwareAcceleratedGPUScheduling.ps1,"Enables Hardware-Accelerated GPU Scheduling (HAGS) via the registry. Reduces CPU overhead for GPU-heavy workloads. Requires Windows 10 2004+ and a WDDM 2.7+ GPU driver. A reboot is required for the change to take effect.",UEM,Windows,Microsoft,,,Medium,2) Medium,"Requires a reboot. May cause display instability on devices with drivers that do not fully support WDDM 2.7+.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Performance/Enable-HardwareAcceleratedGPUScheduling.ps1,3) Complete - Needs Testing,No,
Script,Disable-NonEssentialStartupApps.ps1,"Removes non-essential applications from the Windows startup sequence via Run registry keys and StartupApproved keys.",UEM,Windows,Microsoft,,,Short,2) Medium,"User startup apps are disabled without notification. Users may be surprised that apps they configured no longer auto-launch at logon.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Performance/Disable-NonEssentialStartupApps.ps1,3) Complete - Needs Testing,No,Define which apps are considered non-essential before deploying at scale
Script,Invoke-AutoRemediateAudioBluetooth.ps1,"Runs sequenced audio and Bluetooth health checks and automatically remediates failures: restarts audio services (AudioSrv / AudioEndpointBuilder), refreshes errored PnP audio devices, corrects microphone access policy, and ensures the Bluetooth service is running.",UEM,Windows,Microsoft,,,Long,2) Medium,"Audio service restarts cause a ~1-2 second interruption. Volume mute-state correction sends a keyboard keystroke. No dialogs or user prompts.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediateAudioBluetooth.ps1,3) Complete - Needs Testing,No,
Script,Invoke-AutoRemediateDriverIssues.ps1,"Runs sequenced driver health checks across audio / Bluetooth / network adapter classes. Remediates via an escalating action chain controlled by -AllowedActions (Scan / Restart / Rollback / Reinstall / Uninstall) and scoped by -DriverFilter regex. Default actions are Scan + Restart + Rollback.",UEM,Windows,Microsoft,,,Long,0) Critical,"Destructive actions (Reinstall / Uninstall) permanently remove devices from the PnP tree with no undo. A misconfigured -DriverFilter can remove network adapters leaving the device unreachable via MDM.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediateDriverIssues.ps1,3) Complete - Needs Testing,Yes,"Use default actions only unless a specific issue requires escalation. Test -DriverFilter patterns in a lab first. Never deploy Reinstall/Uninstall to NICs at scale."
Script,Invoke-AutoRemediateNetworkStack.ps1,"Automated network stack diagnostic and remediation. Checks and remediates network adapter state, TCP/IP stack health, DNS client service, and basic connectivity.",UEM,Windows,Microsoft,,,Long,1) High,"Network stack reset operations briefly disrupt all network connectivity. DNS flush and adapter restart cause a short gap in network availability.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediateNetworkStack.ps1,3) Complete - Needs Testing,No,
Script,Invoke-AutoRemediatePrinter.ps1,"Runs sequenced printer health checks (Print Spooler service / installed printers / offline state / default printer / queue health / driver status) and automatically remediates failures where possible.",UEM,Windows,Microsoft,,,Long,3) Low,"Print Spooler service restart cancels in-flight print jobs. Users must resubmit queued jobs after the remediation.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediatePrinter.ps1,3) Complete - Needs Testing,No,
Script,Invoke-AutoRemediateWindowsUpdates.ps1,"Runs sequenced Windows Update health checks (WU / BITS / Cryptographic services / DataStore / pending reboot / policy). Automatically remediates service failures and optionally clears a corrupt DataStore.",UEM,Windows,Microsoft,,,Long,2) Medium,"Services are briefly stopped and restarted. DataStore reset clears update history. Pending reboot is flagged but never forced.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediateWindowsUpdates.ps1,3) Complete - Needs Testing,No,
